Team,Down & Distance,Run %,Pass %,Total Runs,Total Passes,Total Plays
MIA,1st & < 10,70% (32/46),30% (14/46),32,14,46
MIA,2nd & Long (7+),30% (59/195),70% (136/195),59,136,195
MIA,2nd & Medium (4-6),44% (34/77),56% (43/77),34,43,77
MIA,2nd & Short (1-3),50% (31/62),50% (31/62),31,31,62
MIA,3rd & Long (7+),4% (4/95),96% (91/95),4,91,95
MIA,3rd & Medium (4-6),4% (2/46),96% (44/46),2,44,46
MIA,3rd & Short (1-3),26% (15/58),74% (43/58),15,43,58
MIA,4th & Long (7+),20% (1/5),80% (4/5),1,4,5
MIA,4th & Medium (4-6),14% (1/7),86% (6/7),1,6,7
MIA,4th & Short (1-3),42% (5/12),58% (7/12),5,7,12
MIN,1st & 10+,45% (196/431),55% (235/431),196,235,431
MIN,1st & < 10,47% (14/30),53% (16/30),14,16,30
MIN,2nd & Long (7+),25% (52/210),75% (158/210),52,158,210
MIN,2nd & Medium (4-6),38% (30/78),62% (48/78),30,48,78
MIN,2nd & Short (1-3),53% (33/62),47% (29/62),33,29,62
MIN,3rd & Long (7+),5% (6/111),95% (105/111),6,105,111
MIN,3rd & Medium (4-6),2% (1/56),98% (55/56),1,55,56
MIN,3rd & Short (1-3),27% (15/56),73% (41/56),15,41,56
MIN,4th & Long (7+),0% (0/4),100% (4/4),0,4,4
MIN,4th & Medium (4-6),12% (1/8),88% (7/8),1,7,8
MIN,4th & Short (1-3),38% (6/16),62% (10/16),6,10,16
NE,1st & 10+,45% (186/412),55% (226/412),186,226,412
NE,1st & < 10,71% (10/14),29% (4/14),10,4,14
NE,2nd & Long (7+),30% (61/200),70% (139/200),61,139,200
NE,2nd & Medium (4-6),47% (37/78),53% (41/78),37,41,78
NE,2nd & Short (1-3),73% (46/63),27% (17/63),46,17,63
NE,3rd & Long (7+),8% (8/105),92% (97/105),8,97,105
NE,3rd & Medium (4-6),5% (3/57),95% (54/57),3,54,57
NE,3rd & Short (1-3),53% (32/60),47% (28/60),32,28,60
NE,4th & Long (7+),0% (0/6),100% (6/6),0,6,6
NE,4th & Medium (4-6),0% (0/6),100% (6/6),0,6,6
NE,4th & Short (1-3),38% (5/13),62% (8/13),5,8,13
NO,1st & 10+,53% (234/443),47% (209/443),234,209,443
NO,1st & < 10,72% (21/29),28% (8/29),21,8,29
NO,2nd & Long (7+),25% (54/218),75% (164/218),54,164,218
NO,2nd & Medium (4-6),49% (46/94),51% (48/94),46,48,94
NO,2nd & Short (1-3),68% (42/62),32% (20/62),42,20,62
NO,3rd & Long (7+),6% (7/113),94% (106/113),7,106,113
NO,3rd & Medium (4-6),10% (6/60),90% (54/60),6,54,60
NO,3rd & Short (1-3),47% (28/60),53% (32/60),28,32,60
NO,4th & Long (7+),0% (0/3),100% (3/3),0,3,3
NO,4th & Medium (4-6),0% (0/5),100% (5/5),0,5,5
NO,4th & Short (1-3),64% (7/11),36% (4/11),7,4,11
NYG,1st & 10+,38% (156/406),62% (250/406),156,250,406
NYG,1st & < 10,56% (10/18),44% (8/18),10,8,18
NYG,2nd & Long (7+),37% (82/220),63% (138/220),82,138,220
NYG,2nd & Medium (4-6),57% (43/76),43% (33/76),43,33,76
NYG,2nd & Short (1-3),71% (30/42),29% (12/42),30,12,42
NYG,3rd & Long (7+),8% (10/133),92% (123/133),10,123,133
NYG,3rd & Medium (4-6),10% (5/50),90% (45/50),5,45,50
NYG,3rd & Short (1-3),49% (31/63),51% (32/63),31,32,63
NYG,4th & Long (7+),0% (0/10),100% (10/10),0,10,10
NYG,4th & Medium (4-6),0% (0/6),100% (6/6),0,6,6
NYG,4th & Short (1-3),62% (13/21),38% (8/21),13,8,21
NYJ,1st & 10+,43% (182/421),57% (239/421),182,239,421
NYJ,1st & < 10,62% (13/21),38% (8/21),13,8,21
NYJ,2nd & Long (7+),30% (68/229),70% (161/229),68,161,229
NYJ,2nd & Medium (4-6),40% (24/60),60% (36/60),24,36,60
NYJ,2nd & Short (1-3),47% (23/49),53% (26/49),23,26,49
NYJ,3rd & Long (7+),7% (9/126),93% (117/126),9,117,126
NYJ,3rd & Medium (4-6),2% (1/59),98% (58/59),1,58,59
NYJ,3rd & Short (1-3),41% (21/51),59% (30/51),21,30,51
NYJ,4th & Long (7+),0% (0/6),100% (6/6),0,6,6
NYJ,4th & Medium (4-6),17% (1/6),83% (5/6),1,5,6
NYJ,4th & Short (1-3),59% (10/17),41% (7/17),10,7,17
PHI,1st & 10+,45% (202/451),55% (249/451),202,249,451
PHI,1st & < 10,82% (32/39),18% (7/39),32,7,39
PHI,2nd & Long (7+),26% (54/211),74% (157/211),54,157,211
PHI,2nd & Medium (4-6),49% (42/86),51% (44/86),42,44,86
PHI,2nd & Short (1-3),59% (39/66),41% (27/66),39,27,66
PHI,3rd & Long (7+),13% (13/98),87% (85/98),13,85,98
PHI,3rd & Medium (4-6),28% (17/61),72% (44/61),17,44,61
PHI,3rd & Short (1-3),58% (37/64),42% (27/64),37,27,64
PHI,4th & Long (7+),0% (0/3),100% (3/3),0,3,3
PHI,4th & Medium (4-6),0% (0/3),100% (3/3),0,3,3
PHI,4th & Short (1-3),70% (14/20),30% (6/20),14,6,20
PIT,1st & 10+,55% (220/403),45% (183/403),220,183,403
PIT,1st & < 10,72% (18/25),28% (7/25),18,7,25
PIT,2nd & Long (7+),44% (78/178),56% (100/178),78,100,178
PIT,2nd & Medium (4-6),55% (54/98),45% (44/98),54,44,98
PIT,2nd & Short (1-3),47% (25/53),53% (28/53),25,28,53
PIT,3rd & Long (7+),9% (9/104),91% (95/104),9,95,104
PIT,3rd & Medium (4-6),0% (0/60),100% (60/60),0,60,60
PIT,3rd & Short (1-3),45% (29/65),55% (36/65),29,36,65
PIT,4th & Long (7+),0% (0/3),100% (3/3),0,3,3
PIT,4th & Medium (4-6),0% (0/3),100% (3/3),0,3,3
PIT,4th & Short (1-3),62% (8/13),38% (5/13),8,5,13
SEA,1st & 10+,42% (173/411),58% (238/411),173,238,411
SEA,1st & < 10,77% (24/31),23% (7/31),24,7,31
SEA,2nd & Long (7+),27% (51/191),73% (140/191),51,140,191
SEA,2nd & Medium (4-6),49% (40/82),51% (42/82),40,42,82
SEA,2nd & Short (1-3),73% (32/44),27% (12/44),32,12,44
SEA,3rd & Long (7+),3% (3/101),97% (98/101),3,98,101
SEA,3rd & Medium (4-6),2% (1/57),98% (56/57),1,56,57
SEA,3rd & Short (1-3),38% (18/48),62% (30/48),18,30,48
SEA,4th & Long (7+),0% (0/3),100% (3/3),0,3,3
SEA,4th & Medium (4-6),0% (0/2),100% (2/2),0,2,2
SEA,4th & Short (1-3),55% (6/11),45% (5/11),6,5,11
SF,1st & 10+,51% (223/440),49% (217/440),223,217,440
SF,1st & < 10,80% (28/35),20% (7/35),28,7,35
SF,2nd & Long (7+),26% (45/176),74% (131/176),45,131,176
SF,2nd & Medium (4-6),60% (50/83),40% (33/83),50,33,83
SF,2nd & Short (1-3),81% (57/70),19% (13/70),57,13,70
SF,3rd & Long (7+),12% (10/85),88% (75/85),10,75,85
SF,3rd & Medium (4-6),16% (6/38),84% (32/38),6,32,38
SF,3rd & Short (1-3),52% (29/56),48% (27/56),29,27,56
SF,4th & Long (7+),25% (1/4),75% (3/4),1,3,4
SF,4th & Medium (4-6),33% (1/3),67% (2/3),1,2,3
SF,4th & Short (1-3),83% (5/6),17% (1/6),5,1,6
TB,1st & 10+,51% (205/404),49% (199/404),205,199,404
TB,1st & < 10,52% (15/29),48% (14/29),15,14,29
TB,2nd & Long (7+),34% (71/211),66% (140/211),71,140,211
TB,2nd & Medium (4-6),48% (40/83),52% (43/83),40,43,83
TB,2nd & Short (1-3),50% (24/48),50% (24/48),24,24,48
TB,3rd & Long (7+),3% (3/113),97% (110/113),3,110,113
TB,3rd & Medium (4-6),5% (3/66),95% (63/66),3,63,66
TB,3rd & Short (1-3),36% (19/53),64% (34/53),19,34,53
TB,4th & Long (7+),0% (0/4),100% (4/4),0,4,4
TB,4th & Medium (4-6),0% (0/5),100% (5/5),0,5,5
TB,4th & Short (1-3),78% (7/9),22% (2/9),7,2,9
TEN,1st & 10+,50% (201/406),50% (205/406),201,205,406
TEN,1st & < 10,79% (19/24),21% (5/24),19,5,24
TEN,2nd & Long (7+),38% (80/209),62% (129/209),80,129,209
TEN,2nd & Medium (4-6),47% (32/68),53% (36/68),32,36,68
TEN,2nd & Short (1-3),74% (35/47),26% (12/47),35,12,47
TEN,3rd & Long (7+),6% (6/109),94% (103/109),6,103,109
TEN,3rd & Medium (4-6),11% (6/53),89% (47/53),6,47,53
TEN,3rd & Short (1-3),43% (20/47),57% (27/47),20,27,47
TEN,4th & Long (7+),50% (2/4),50% (2/4),2,2,4
TEN,4th & Medium (4-6),0% (0/3),100% (3/3),0,3,3
TEN,4th & Short (1-3),54% (7/13),46% (6/13),7,6,13
WAS,1st & 10+,35% (155/438),65% (283/438),155,283,438
WAS,1st & < 10,42% (10/24),58% (14/24),10,14,24
WAS,2nd & Long (7+),27% (58/211),73% (153/211),58,153,211
WAS,2nd & Medium (4-6),43% (31/72),57% (41/72),31,41,72
WAS,2nd & Short (1-3),45% (29/65),55% (36/65),29,36,65
WAS,3rd & Long (7+),4% (4/108),96% (104/108),4,104,108
WAS,3rd & Medium (4-6),7% (3/44),93% (41/44),3,41,44
WAS,3rd & Short (1-3),38% (25/65),62% (40/65),25,40,65
WAS,4th & Long (7+),20% (1/5),80% (4/5),1,4,5
WAS,4th & Medium (4-6),0% (0/4),100% (4/4),0,4,4
WAS,4th & Short (1-3),25% (5/20),75% (15/20),5,15,20
