Team,Field Position,Run %,Pass %
IND,Backed Up,48% (14/29),52% (15/29)
IND,Goal Line,59% (23/39),41% (16/39)
IND,In the Field,38% (333/879),62% (546/879)
IND,Lower Red Zone,54% (27/50),46% (23/50)
IND,Upper Red Zone,49% (42/85),51% (43/85)
JAX,Backed Up,42% (8/19),58% (11/19)
JAX,Goal Line,60% (15/25),40% (10/25)
JAX,In the Field,34% (316/930),66% (614/930)
JAX,Lower Red Zone,43% (24/56),57% (32/56)
JAX,Upper Red Zone,39% (26/66),61% (40/66)
KC,Backed Up,40% (8/20),60% (12/20)
KC,Goal Line,39% (13/33),61% (20/33)
KC,In the Field,31% (271/865),69% (594/865)
KC,Lower Red Zone,40% (28/70),60% (42/70)
KC,Upper Red Zone,29% (19/66),71% (47/66)
LA,Backed Up,53% (10/19),47% (9/19)
LA,Goal Line,55% (22/40),45% (18/40)
LA,In the Field,40% (354/891),60% (537/891)
LA,Lower Red Zone,47% (37/78),53% (41/78)
LA,Upper Red Zone,47% (27/57),53% (30/57)
LAC,Backed Up,34% (10/29),66% (19/29)
LAC,Goal Line,55% (23/42),45% (19/42)
LAC,In the Field,34% (305/907),66% (602/907)
LAC,Lower Red Zone,34% (23/67),66% (44/67)
LAC,Upper Red Zone,40% (20/50),60% (30/50)
LV,Backed Up,53% (8/15),47% (7/15)
LV,Goal Line,58% (15/26),42% (11/26)
LV,In the Field,38% (316/829),62% (513/829)
LV,Lower Red Zone,42% (25/59),58% (34/59)
LV,Upper Red Zone,39% (25/64),61% (39/64)
MIA,Backed Up,39% (7/18),61% (11/18)
MIA,Goal Line,52% (27/52),48% (25/52)
MIA,In the Field,39% (325/840),61% (515/840)
MIA,Lower Red Zone,48% (33/69),52% (36/69)
MIA,Upper Red Zone,56% (31/55),44% (24/55)
MIN,Backed Up,35% (7/20),65% (13/20)
MIN,Goal Line,47% (15/32),53% (17/32)
MIN,In the Field,34% (301/895),66% (594/895)
MIN,Lower Red Zone,25% (15/61),75% (46/61)
MIN,Upper Red Zone,30% (16/54),70% (38/54)
NE,Backed Up,48% (19/40),52% (21/40)
NE,Goal Line,50% (7/14),50% (7/14)
NE,In the Field,37% (325/886),63% (561/886)
NE,Lower Red Zone,58% (14/24),42% (10/24)
NE,Upper Red Zone,46% (23/50),54% (27/50)
NO,Backed Up,59% (13/22),41% (9/22)
NO,Goal Line,80% (20/25),20% (5/25)
NO,In the Field,38% (344/904),62% (560/904)
NO,Lower Red Zone,51% (38/74),49% (36/74)
NO,Upper Red Zone,41% (30/73),59% (43/73)
NYG,Backed Up,50% (15/30),50% (15/30)
NYG,Goal Line,55% (6/11),45% (5/11)
NYG,In the Field,34% (304/899),66% (595/899)
NYG,Lower Red Zone,54% (27/50),46% (23/50)
NYG,Upper Red Zone,51% (28/55),49% (27/55)
NYJ,Backed Up,52% (11/21),48% (10/21)
NYJ,Goal Line,25% (2/8),75% (6/8)
NYJ,In the Field,33% (302/916),67% (614/916)
NYJ,Lower Red Zone,30% (15/50),70% (35/50)
NYJ,Upper Red Zone,44% (22/50),56% (28/50)
PHI,Backed Up,38% (6/16),62% (10/16)
PHI,Goal Line,81% (29/36),19% (7/36)
PHI,In the Field,37% (343/917),63% (574/917)
PHI,Lower Red Zone,69% (42/61),31% (19/61)
PHI,Upper Red Zone,42% (30/72),58% (42/72)
PIT,Backed Up,42% (13/31),58% (18/31)
PIT,Goal Line,68% (15/22),32% (7/22)
PIT,In the Field,42% (359/854),58% (495/854)
PIT,Lower Red Zone,55% (23/42),45% (19/42)
PIT,Upper Red Zone,55% (31/56),45% (25/56)
SEA,Backed Up,43% (9/21),57% (12/21)
SEA,Goal Line,81% (17/21),19% (4/21)
SEA,In the Field,34% (273/812),66% (539/812)
SEA,Lower Red Zone,39% (26/67),61% (41/67)
SEA,Upper Red Zone,38% (23/60),62% (37/60)
SF,Backed Up,43% (6/14),57% (8/14)
SF,Goal Line,70% (32/46),30% (14/46)
SF,In the Field,44% (347/791),56% (444/791)
SF,Lower Red Zone,54% (32/59),46% (27/59)
SF,Upper Red Zone,44% (38/86),56% (48/86)
TB,Backed Up,42% (14/33),58% (19/33)
TB,Goal Line,46% (12/26),54% (14/26)
TB,In the Field,37% (322/864),63% (542/864)
TB,Lower Red Zone,30% (13/44),70% (31/44)
TB,Upper Red Zone,45% (26/58),55% (32/58)
TEN,Backed Up,59% (10/17),41% (7/17)
TEN,Goal Line,59% (16/27),41% (11/27)
TEN,In the Field,41% (345/850),59% (505/850)
TEN,Lower Red Zone,40% (19/47),60% (28/47)
TEN,Upper Red Zone,43% (18/42),57% (24/42)
WAS,Backed Up,43% (9/21),57% (12/21)
WAS,Goal Line,43% (15/35),57% (20/35)
WAS,In the Field,29% (259/902),71% (643/902)
WAS,Lower Red Zone,27% (13/48),73% (35/48)
WAS,Upper Red Zone,50% (25/50),50% (25/50)
